Rank,Title,Issn,SJR
76,Strategic Management Journal,0143-2095,9.443
77,Annual Review of Condensed Matter Physics,1947-5454,9.438
77,Annual Review of Condensed Matter Physics,1947-5462,9.438
78,Nature Reviews Gastroenterology and Hepatology,1759-5045,9.409
78,Nature Reviews Gastroenterology and Hepatology,1759-5053,9.409
79,Journal of Clinical Oncology,1527-7755,9.378
79,Journal of Clinical Oncology,0732-183X,9.378
80,Cell Host and Microbe,1934-6069,9.373
80,Cell Host and Microbe,1931-3128,9.373
81,Genome Biology,1474-7596,9.371
82,Cell Metabolism,1550-4131,9.297
82,Cell Metabolism,1932-7420,9.297
83,Nature Immunology,1529-2908,9.135
83,Nature Immunology,1529-2916,9.135
84,Nature Reviews Microbiology,1740-1534,9.103
84,Nature Reviews Microbiology,1740-1526,9.103
85,Nature Reviews Physics,2522-5820,8.971
86,Clinical Microbiology Reviews,0893-8512,8.964
86,Clinical Microbiology Reviews,1098-6618,8.964
87,Progress in Materials Science,1873-2208,8.941
87,Progress in Materials Science,0079-6425,8.941
88,"Lancet Psychiatry,The",2215-0374,8.932
88,"Lancet Psychiatry,The",2215-0366,8.932
89,"Lancet Global Health,The",2214-109X,8.845
90,Advances in Physics,1460-6976,8.837
90,Advances in Physics,0001-8732,8.837
91,Annual Review of Psychology,0066-4308,8.804
91,Annual Review of Psychology,1545-2085,8.804
92,Advanced Materials,0935-9648,8.663
92,Advanced Materials,1521-4095,8.663
93,Annual Review of Organizational Psychology and Organizational Behavior,2327-0608,8.656
94,American Economic Journal: Economic Policy,1945-7731,8.636
94,American Economic Journal: Economic Policy,1945-774X,8.636
95,Annals of Oncology,1569-8041,8.59
95,Annals of Oncology,0923-7534,8.59
96,Nature Reviews Endocrinology,1759-5037,8.561
96,Nature Reviews Endocrinology,1759-5029,8.561
97,Reviews of Geophysics,1944-9208,8.527
97,Reviews of Geophysics,8755-1209,8.527
98,Nature Structural and Molecular Biology,1545-9993,8.497
98,Nature Structural and Molecular Biology,1545-9985,8.497
99,Annual Review of Public Health,0163-7525,8.451
99,Annual Review of Public Health,1545-2093,8.451
100,Nature Reviews Disease Primers,2056-676X,8.409
101,Nature Chemistry,1755-4330,8.384
101,Nature Chemistry,1755-4349,8.384
102,JAMA Cardiology,2380-6583,8.324
102,JAMA Cardiology,2380-6591,8.324
103,Nature Electronics,2520-1131,8.302
104,Circulation,0009-7322,8.281
104,Circulation,1524-4539,8.281
105,IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,8.269
106,Review of Economics and Statistics,0034-6535,8.245
106,Review of Economics and Statistics,1530-9142,8.245
107,Nucleic Acids Research,0305-1048,8.241
107,Nucleic Acids Research,1362-4962,8.241
108,Advanced Energy Materials,1614-6832,8.226
108,Advanced Energy Materials,1614-6840,8.226
109,Nature Reviews Neuroscience,1471-0048,7.944
109,Nature Reviews Neuroscience,1471-003X,7.944
110,Cell Stem Cell,1934-5909,7.935
110,Cell Stem Cell,1875-9777,7.935
111,Gut,1468-3288,7.885
111,Gut,0017-5749,7.885
112,Cell Research,1748-7838,7.804
112,Cell Research,1001-0602,7.804
113,Journal of Economic Perspectives,0895-3309,7.785
114,Nature Reviews Neurology,1759-4766,7.736
114,Nature Reviews Neurology,1759-4758,7.736
115,Gastroenterology,1528-0012,7.689
115,Gastroenterology,0016-5085,7.689
116,Personality and Social Psychology Review,1088-8683,7.66
116,Personality and Social Psychology Review,1532-7957,7.66
117,Academy of Management Review,0363-7425,7.618
118,NCHS data brief,1941-4927,7.585
118,NCHS data brief,1941-4935,7.585
119,Nature Physics,1745-2473,7.568
120,Annual Review of Fluid Mechanics,1545-4479,7.56
120,Annual Review of Fluid Mechanics,0066-4189,7.56
121,Neuron,1097-4199,7.556
121,Neuron,0896-6273,7.556
122,Psychological Bulletin,0033-2909,7.504
122,Psychological Bulletin,1939-1455,7.504
123,JAMA Oncology,2374-2445,7.502
123,JAMA Oncology,2374-2437,7.502
124,Acta Crystallographica Section D: Structural Biology,2059-7983,7.498
125,EnergyChem,2589-7780,7.488
126,Advances in Optics and Photonics,1943-8206,7.473
127,Accounts of Chemical Research,0001-4842,7.469
127,Accounts of Chemical Research,1520-4898,7.469
128,Journal of Marketing,1547-7185,7.461
128,Journal of Marketing,0022-2429,7.461
129,Annual Review of Clinical Psychology,1548-5951,7.45
129,Annual Review of Clinical Psychology,1548-5943,7.45
130,Trends in Cell Biology,0962-8924,7.413
130,Trends in Cell Biology,1879-3088,7.413
131,ACS Energy Letters,2380-8195,7.362
132,Journal of Hepatology,1600-0641,7.351
132,Journal of Hepatology,0168-8278,7.351
133,Journal of Accounting and Economics,0165-4101,7.346
134,Annual Review of Neuroscience,0147-006X,7.269
134,Annual Review of Neuroscience,1545-4126,7.269
135,Journal of Experimental Medicine,0022-1007,7.265
135,Journal of Experimental Medicine,1540-9538,7.265
136,Annual Review of Biophysics,1936-1238,7.164
136,Annual Review of Biophysics,1936-122X,7.164
137,ACM Transactions on Graphics,1557-7368,7.148
137,ACM Transactions on Graphics,0730-0301,7.148
138,Manufacturing and Service Operations Management,1526-5498,7.127
138,Manufacturing and Service Operations Management,1523-4614,7.127
139,Journal of Management,0149-2063,7.121
139,Journal of Management,1557-1211,7.121
140,Review of Corporate Finance Studies,2046-9136,7.118
140,Review of Corporate Finance Studies,2046-9128,7.118
141,Journal of Consumer Research,0093-5301,7.117
141,Journal of Consumer Research,1537-5277,7.117
142,Nature Protocols,1754-2189,7.063
143,Electrochemical Energy Reviews,2520-8136,7.061
143,Electrochemical Energy Reviews,2520-8489,7.061
144,Cell Systems,2405-4720,7.048
144,Cell Systems,2405-4712,7.048
145,Living Reviews in Solar Physics,1614-4961,6.921
145,Living Reviews in Solar Physics,2367-3648,6.921
146,Molecular Cancer,1476-4598,6.896
147,Review of Educational Research,0034-6543,6.887
147,Review of Educational Research,1935-1046,6.887
148,Organization Science,1526-5455,6.871
148,Organization Science,1047-7039,6.871
149,Endocrine Reviews,1945-7189,6.86
149,Endocrine Reviews,0163-769X,6.86
150,Annual Review of Economics,1941-1383,6.847
150,Annual Review of Economics,1941-1391,6.847
151,International Journal of Computer Vision,0920-5691,6.838
151,International Journal of Computer Vision,1573-1405,6.838
152,Progress in Energy and Combustion Science,0360-1285,6.777
153,Physical Review X,2160-3308,6.735
154,Nature Reviews Cardiology,1759-5010,6.721
154,Nature Reviews Cardiology,1759-5002,6.721
155,Annual Review of Physiology,0066-4278,6.709
155,Annual Review of Physiology,1545-1585,6.709
156,NBER Macroeconomics Annual,1537-2642,6.688
156,NBER Macroeconomics Annual,0889-3365,6.688
157,Annals of Mathematics,0003-486X,6.677
158,Fungal Diversity,1560-2745,6.674
158,Fungal Diversity,1878-9129,6.674
159,"Lancet Rheumatology, The",2665-9913,6.633
160,Nature Reviews Nephrology,1759-507X,6.623
160,Nature Reviews Nephrology,1759-5061,6.623
161,Annual Review of Nuclear and Particle Science,0163-8998,6.59
162,Marketing Science,0732-2399,6.584
162,Marketing Science,1526-548X,6.584
163,Science Robotics,2470-9476,6.569
164,Genes and Development,1549-5477,6.535
164,Genes and Development,0890-9369,6.535
165,Diabetes Care,1935-5548,6.528
165,Diabetes Care,0149-5992,6.528
166,Molecular Systems Biology,1744-4292,6.523
167,Journal of Applied Psychology,1939-1854,6.445
167,Journal of Applied Psychology,0021-9010,6.445
168,Materials Science and Engineering: R: Reports,0927-796X,6.443
169,Annual Review of Microbiology,0066-4227,6.395
169,Annual Review of Microbiology,1545-3251,6.395
170,Annual Review of Cell and Developmental Biology,1530-8995,6.375
170,Annual Review of Cell and Developmental Biology,1081-0706,6.375
171,Annals of Statistics,0090-5364,6.35
172,Physics Reports,0370-1573,6.327
173,IEEE Journal on Selected Areas in Communications,0733-8716,6.32
174,Materials Today,1369-7021,6.3
174,Materials Today,1873-4103,6.3
175,JAMA Neurology,2168-6157,6.278
175,JAMA Neurology,2168-6149,6.278
176,Journal of the Royal Statistical Society. Series B: Statistical Methodology,1467-9868,6.251
176,Journal of the Royal Statistical Society. Series B: Statistical Methodology,1369-7412,6.251
177,"Annual Review of Ecology, Evolution, and Systematics",1543-592X,6.234
178,Trends in Cognitive Sciences,1879-307X,6.222
178,Trends in Cognitive Sciences,1364-6613,6.222
179,Nature Metabolism,2522-5812,6.201
180,Nature Cancer,2662-1347,6.186
181,European Urology,1873-7560,6.184
181,European Urology,0302-2838,6.184
182,Systematic Biology,1076-836X,6.183
182,Systematic Biology,1063-5157,6.183
183,Nature Climate Change,1758-6798,6.134
183,Nature Climate Change,1758-678X,6.134
184,Annual Review of Entomology,0066-4170,6.09
184,Annual Review of Entomology,1545-4487,6.09
185,Cancer Discovery,2159-8274,6.084
185,Cancer Discovery,2159-8290,6.084
186,IEEE Transactions on Evolutionary Computation,1089-778X,6.078
187,JAMA - Journal of the American Medical Association,1538-3598,6.076
187,JAMA - Journal of the American Medical Association,0098-7484,6.076
188,Chem,2451-9308,6.073
188,Chem,2451-9294,6.073
189,IEEE Wireless Communications,1536-1284,6.06
190,"Lancet Digital Health, The",2589-7500,6.024
191,Progress in Retinal and Eye Research,1350-9462,6.022
191,Progress in Retinal and Eye Research,1873-1635,6.022
192,Cell Reports Medicine,2666-3791,5.956
193,American Journal of Respiratory and Critical Care Medicine,1073-449X,5.95
193,American Journal of Respiratory and Critical Care Medicine,1535-4970,5.95
194,American Sociological Review,0003-1224,5.944
194,American Sociological Review,1939-8271,5.944
195,"Lancet Gastroenterology and Hepatology, The",2468-1253,5.927
196,Journal of Accounting Research,1475-679X,5.922
196,Journal of Accounting Research,0021-8456,5.922
197,JACC: Cardiovascular Imaging,1936-878X,5.914
197,JACC: Cardiovascular Imaging,1876-7591,5.914
198,Progress in Polymer Science,0079-6700,5.886
199,Journal of Business Venturing,0883-9026,5.829
200,American Political Science Review,1537-5943,5.816
200,American Political Science Review,0003-0554,5.816
201,Nature Sustainability,2398-9629,5.789
202,JAMA Internal Medicine,2168-6114,5.772
202,JAMA Internal Medicine,2168-6106,5.772
203,Reports on Progress in Physics,1361-6633,5.756
203,Reports on Progress in Physics,0034-4885,5.756
204,Journal of the American Chemical Society,1520-5126,5.728
204,Journal of the American Chemical Society,0002-7863,5.728
205,Genome Research,1549-5469,5.707
205,Genome Research,1088-9051,5.707
